Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_Delay_Percentage	Slice_LUTs	LUT_as_Logic	LUT_as_Memory	RegsFF	RegsLatch	ABC_Delay	ABC_Area
16263	"&scorr;&sweep;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&dch -f;&b;&if -W 300 -K 6 -v;&mfs;
"	18.447	6.808	11.639	37	12948	12863	46200	4511	1680	3186.00	12335.0
7813	"&scorr;&sweep;&syn2;&dch -f;&dch;&syn2;&if -W 300 -K 6 -v;&mfs;
"	25.193	8.249	16.944	33	13050	12965	46200	4511	1680	3325.00	12523.0
18675	"&scorr;&sweep;&if -W 300 -K 6 -v;&st;&syn3;&dch;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1790.00	15774.0
5791	"&scorr;&sweep;&synch2;&if -W 300 -x -K 6;&dc2;&syn2;&if -W 300 -K 6 -v;&mfs;
"	21.676	7.331	14.345	34	12762	12677	46200	4511	1680	3084.00	12304.0
19317	"&scorr;&sweep;&dch -f;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&st;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	15844.0
19443	"&scorr;&sweep;&dch -f;&syn2;&dc2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"	19.194	6.846	12.348	36	13094	13009	46200	4511	1680	3086.00	12541.0
6725	"&scorr;&sweep;&b -d;&syn4;&b -d;&syn2;&if -W 300 -K 6 -v;&mfs;
"	20.388	7.094	13.294	35	13131	13046	46200	4511	1680	3325.00	12554.0
17371	"&scorr;&sweep;&dch -f;&if -W 300 -g -K 6;&syn4;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	15894.0
16179	"&scorr;&sweep;&synch2;&if -W 300 -x -K 6;&dch -f;&b;&if -W 300 -K 6 -v;&mfs;
"	20.764	7.076	13.688	35	13110	13025	46200	4511	1680	3085.00	12621.0
17200	"&scorr;&sweep;&if -W 300 -y -K 6;&synch2;&syn3;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	16813.0
228	"&scorr;&sweep;&b;&syn2;&dc2;&if -W 300 -K 6 -v;&mfs;
"	24.987	8.249	16.738	34	13151	13066	46200	4511	1680	3325.00	12708.0
3499	"&scorr;&sweep;&if -W 300 -K 6 -v;&st;&dch;&syn3;&dc2;&if -W 300 -K 6 -v;&mfs;
"	19.265	6.925	12.340	36	12861	12776	46200	4511	1680	3387.00	12309.0
335	"&scorr;&sweep;&if -W 300 -K 6 -v;&st;&if -W 300 -y -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;
"	20.400	7.094	13.306	35	13729	13644	46200	4511	1680	3084.00	13219.0
13610	"&scorr;&sweep;&syn3;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&if -W 300 -K 6 -v;&mfs;
"										1843.00	14559.0
