Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
2696	&scorr;&sweep;&dch;&b;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.021	7.083(36%)	12.938(64%)	36	13134	85	13049	4511	1680	3085	  12554
2697	&scorr;&sweep;&dch -f;&b;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	24.116	7.800(33%)	16.316(67%)	33	13115	85	13030	4511	1680	3326	  12521
2698	&scorr;&sweep;&dch -f;&syn4;&b -d;&if -W 300 -K 6 -v;&mfs;										1842	  17615
2699	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&b;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.800	7.094(35%)	13.706(65%)	35	13188	85	13103	4511	1680	2884	  12526
2700	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&b;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	19.370	6.602(35%)	12.768(65%)	35	13391	85	13306	4511	1680	3083	  12959
2701	&scorr;&sweep;&dc2;&b -d;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	24.171	8.132(34%)	16.039(66%)	34	13224	85	13139	4511	1680	3326	  12661
2702	&scorr;&sweep;&syn2;&b -d;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.167	6.970(35%)	13.197(65%)	35	13165	85	13080	4511	1680	3083	  12756
2703	&scorr;&sweep;&syn3;&b -d;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	21.228	7.297(35%)	13.931(65%)	35	13111	85	13026	4511	1680	3084	  12688
2704	&scorr;&sweep;&syn4;&b -d;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.662	7.173(35%)	13.489(65%)	35	13196	85	13111	4511	1680	3085	  12669
2705	&scorr;&sweep;&b;&b -d;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	19.851	6.828(35%)	13.023(65%)	35	13261	85	13176	4511	1680	3084	  12865
2706	&scorr;&sweep;&b -d;&b -d;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	18.987	6.722(36%)	12.265(64%)	36	13382	85	13297	4511	1680	3084	  12956
2707	&scorr;&sweep;&if -W 300 -x -K 6;&b -d;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	18.147	6.587(37%)	11.560(63%)	37	13411	85	13326	4511	1680	3083	  12895
2708	&scorr;&sweep;&if -W 300 -g -K 6;&b -d;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	18.946	6.594(35%)	12.352(65%)	35	13290	85	13205	4511	1680	3083	  12783
2709	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&b -d;&if -W 300 -K 6 -v;&mfs;										1772	  16535
2710	&scorr;&sweep;&if -W 300 -y -K 6;&b -d;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	19.040	6.627(35%)	12.413(65%)	35	13416	85	13331	4511	1680	3085	  12863
2711	&scorr;&sweep;&synch2;&b -d;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	21.024	7.297(35%)	13.727(65%)	35	13217	85	13132	4511	1680	3083	  12760
2712	&scorr;&sweep;&dch;&b -d;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.700	7.076(35%)	13.624(65%)	35	13206	85	13121	4511	1680	3085	  12631
